000000, 1709024879336.4976, 1729
000001, 1709024879713.1687, 96
000002, 1709024879815.1157, 47
000003, 1709024879950.5515, 31
000004, 1709024880086.015, 24
000005, 1709024880221.1982, 22
000006, 1709024880322.2424, 21
000007, 1709024880422.97, 20
000008, 1709024880523.4624, 20
000009, 1709024880657.2065, 20
000010, 1709024880757.3948, 20
000011, 1709024880890.7202, 20
000012, 1709024880990.497, 20
000013, 1709024881090.088, 20
000014, 1709024881222.586, 20
000015, 1709024881321.7424, 20
000016, 1709024881453.6614, 20
000017, 1709024881552.3833, 20
000018, 1709024881683.9006, 20
000019, 1709024881784.5225, 20
000020, 1709024881918.6848, 20
000021, 1709024882019.3064, 20
000022, 1709024882119.928, 20
000023, 1709024882254.0896, 20
000024, 1709024882354.7107, 20
000025, 1709024882488.872, 20
000026, 1709024882589.4927, 20
000027, 1709024882723.6216, 20
000028, 1709024882824.1455, 20
000029, 1709024882958.1587, 20
000030, 1709024883058.6545, 20
000031, 1709024883192.6306, 20
000032, 1709024883293.0984, 20
000033, 1709024883427.037, 20
000034, 1709024883527.477, 20
000035, 1709024883661.3782, 20
000036, 1709024883762.051, 20
000037, 1709024883896.2852, 20
000038, 1709024883996.9636, 21
000039, 1709024884131.2053, 22
000040, 1709024884265.451, 24
000041, 1709024884366.1382, 24
000042, 1709024884500.391, 24
000043, 1709024884601.0837, 24
000044, 1709024884701.8035, 24
000045, 1709024884836.2107, 24
000046, 1709024884937.0269, 24
000047, 1709024885037.8523, 24
000048, 1709024885172.3003, 23
000049, 1709024885273.147, 22
000050, 1709024885407.6233, 21
000051, 1709024885508.4912, 20
000052, 1709024885642.996, 20
000053, 1709024885743.8303, 20
000054, 1709024885878.296, 20
000055, 1709024885979.1558, 20
000056, 1709024886113.6501, 20
000057, 1709024886214.532, 20
000058, 1709024886349.0552, 20
000059, 1709024886449.9585, 20
000060, 1709024886584.5105, 20
000061, 1709024886685.4148, 20
000062, 1709024886786.2786, 20
000063, 1709024886920.776, 20
000064, 1709024887021.6582, 20
000065, 1709024887156.18, 20
000066, 1709024887257.0803, 20
000067, 1709024887391.6262, 20
000068, 1709024887492.545, 20
000069, 1709024887627.1155, 20
000070, 1709024887728.0344, 20
000071, 1709024887862.5745, 20
000072, 1709024887963.4907, 20
000073, 1709024888098.0605, 20
000074, 1709024888232.6472, 20
000075, 1709024888333.5986, 20
000076, 1709024888468.215, 20
000077, 1709024888569.1885, 20
000078, 1709024888703.7715, 20
